index,team1,team2,result_winner_1,result_winner_2,result_winner_3
0,G-2,G-5,,,
1,G-6,G-8,,,
2,G-10,G-11,,,
3,G-3,G-12,,,
4,G-2,G-9,,,
5,G-12,G-10,,,
6,G-13,G-3,,,
7,G-5,G-6,,,
8,G-1,G-2,,,
9,G-11,G-12,,,
10,G-4,G-12,,,
11,G-9,G-8,,,
12,G-1,G-9,,,
13,G-4,G-9,,,
14,G-6,G-1,,,
15,G-11,G-4,,,
16,G-13,G-1,,,
17,G-10,G-4,,,
18,G-7,G-4,,,
19,G-9,G-11,,,
20,G-6,G-7,,,
21,G-11,G-13,,,
22,G-5,G-12,,,
23,G-6,G-9,,,
24,G-11,G-8,,,
25,G-5,G-1,,,
26,G-10,G-2,,,
27,G-8,G-10,,,
28,G-11,G-5,,,
29,G-3,G-8,,,
30,G-11,G-1,,,
31,G-7,G-5,,,
32,G-7,G-8,,,
33,G-4,G-1,,,
34,G-1,G-3,,,
35,G-6,G-10,,,
36,G-13,G-5,,,
37,G-8,G-5,,,
38,G-8,G-1,,,
39,G-10,G-3,,,
40,G-8,G-4,,,
41,G-13,G-2,,,
42,G-3,G-11,,,
43,G-12,G-13,,,
44,G-12,G-8,,,
45,G-4,G-13,,,
46,G-10,G-5,,,
47,G-12,G-2,,,
48,G-5,G-9,,,
49,G-8,G-2,,,
50,G-7,G-11,,,
51,G-7,G-1,,,
52,G-2,G-4,,,
53,G-11,G-2,,,
54,G-12,G-1,,,
55,G-13,G-7,,,
56,G-5,G-3,,,
57,G-10,G-9,,,
58,G-4,G-3,,,
59,G-2,G-6,,,
60,G-10,G-1,,,
61,G-7,G-10,,,
62,G-3,G-6,,,
63,G-5,G-4,,,
64,G-7,G-12,,,
65,G-13,G-8,,,
66,G-2,G-7,,,
67,G-6,G-13,,,
68,G-12,G-6,,,
69,G-13,G-10,,,
70,G-9,G-12,,,
71,G-13,G-9,,,
72,G-3,G-9,,,
73,G-6,G-4,,,
74,G-3,G-2,,,
75,G-7,G-9,,,
76,G-11,G-6,,,
77,G-7,G-3,,,
